programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,698845,C,Bestått,2011,v
BIT,698847,F,Ikke bestått,2010,v
BIT,698847,E,Bestått,2011,v
BIT,698848,B,Bestått,2011,v
BIT,698855,C,Bestått,2010,v
BIT,698856,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,698856,,Trekk under eksamen (Avbrutt eksamen),2010,s
BIT,698856,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,698856,,Ikke møtt,2011,s
BIT,698856,,Ikke møtt,2012,v
BIT,698856,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,698856,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,698856,,Ikke møtt,2015,v
BIT,698856,,Ikke møtt,2016,v
BIT,698861,F,Ikke bestått,2012,v
BIT,698861,F,Ikke bestått,2012,s
BIT,698862,E,Bestått,2010,v
BIT,698864,E,Bestått,2010,v
BIT,698866,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,698866,E,Bestått,2010,s
BIT,698866,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,698867,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,698867,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,698867,,Ikke møtt,2011,s
BIT,698867,F,Ikke bestått,2012,v
BIT,698867,E,Bestått,2013,v
BIT,698868,C,Bestått,2010,v
BIT,698870,D,Bestått,2010,v
BIT,698900,E,Bestått,2016,v
BIT,698900,C,Bestått,2017,v
BIT,698964,C,Bestått,2011,v
BIT,699049,C,Bestått,2014,v
BIT,699073,,Manglende øvinger,2011,v
BIT,699087,E,Bestått,2010,v
BIT,699098,F,Ikke bestått,2010,v
BIT,699098,F,Ikke bestått,2011,v
BIT,699098,D,Bestått,2012,v
BIT,699124,C,Bestått,2012,v
BIT,699158,,Manglende øvinger,2010,v
BIT,700861,C,Bestått,2013,v
BIT,701221,C,Bestått,2014,v
BIT,701377,E,Bestått,2010,v
BIT,701566,E,Bestått,2010,v
BIT,701566,B,Bestått,2012,v
BIT,701643,F,Ikke bestått,2010,v
BIT,701643,F,Ikke bestått,2010,s
BIT,701643,E,Bestått,2011,v
BIT,701643,C,Bestått,2012,v
BIT,705096,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,705104,D,Bestått,2018,v
BIT,705325,D,Bestått,2010,v
BIT,705330,C,Bestått,2010,v
BIT,705332,C,Bestått,2010,v
BIT,705332,C,Bestått,2013,v
